date,parts,savings,total_value,invested_value
20110104,0.0,1000,1000.0,0.0
20110105,0.0,1000,1000.0,0.0
20110106,0.0,1000,1000.0,0.0
20110107,0.0,1000,1000.0,0.0
20110110,0.0,1000,1000.0,0.0
20110111,0.0,1000,1000.0,0.0
20110112,0.0,1000,1000.0,0.0
20110113,0.0,1000,1000.0,0.0
20110114,0.0,1000,1000.0,0.0
20110118,0.0,1000,1000.0,0.0
20110119,0.0,1000,1000.0,0.0
20110120,0.0,1000,1000.0,0.0
20110121,0.0,1000,1000.0,0.0
20110124,0.0,1000,1000.0,0.0
20110125,92.11411096065807,0,1000.0,1000.0
20110126,92.11411096065807,0,1004.3569974484391,1004.3569974484391
20110127,92.11411096065807,0,1003.620084560754,1003.620084560754
20110128,92.11411096065807,0,996.914177282818,996.914177282818
20110131,92.11411096065807,0,995.2469118744301,995.2469118744301
20110201,183.67662526730092,0,2006.024262856827,2006.024262856827
20110202,183.67662526730092,0,2007.658984821706,2007.658984821706
20110203,183.67662526730092,0,2029.645076866202,2029.645076866202
20110204,183.67662526730092,0,2043.7881770117842,2043.7881770117842
20110207,183.67662526730092,0,2057.3618796190376,2057.3618796190376
20110208,183.67662526730092,0,2050.253594221193,2050.253594221193
20110209,183.67662526730092,0,2037.9656279908106,2037.9656279908106
20110210,183.67662526730092,0,2047.0392532790154,2047.0392532790154
20110211,183.67662526730092,0,2059.510896134665,2059.510896134665
20110214,183.67662526730092,0,2079.4214423136405,2079.4214423136405
20110215,183.67662526730092,0,2070.678434950917,2070.678434950917
20110216,183.67662526730092,0,2082.103121042543,2082.103121042543
20110217,183.67662526730092,0,2084.4541818459643,2084.4541818459643
20110218,183.67662526730092,0,2080.1010458271294,2080.1010458271294
20110222,183.67662526730092,0,2034.0900511976704,2034.0900511976704
20110223,183.67662526730092,0,2011.7917088902202,2011.7917088902202
20110224,183.67662526730092,0,2003.8201433536194,2003.8201433536194
20110225,183.67662526730092,0,2031.8491963694094,2031.8491963694094
20110228,183.67662526730092,0,2038.0390986409177,2038.0390986409177
20110301,274.6353300153453,0,3019.340818188706,3019.340818188706
20110302,274.6353300153453,0,3002.1486465297453,3002.1486465297453
20110303,274.6353300153453,0,3021.290729031815,3021.290729031815
20110304,274.6353300153453,0,3002.395818326759,3002.395818326759
20110307,274.6353300153453,0,2976.1406807772923,2976.1406807772923
20110308,274.6353300153453,0,3005.8287599519513,3005.8287599519513
20110309,274.6353300153453,0,2998.5509237065444,2998.5509237065444
20110310,274.6353300153453,0,2966.25380889674,2966.25380889674
20110311,274.6353300153453,0,2961.475154154473,2961.475154154473
20110314,274.6353300153453,0,2901.9616781401473,2901.9616781401473
20110315,274.6353300153453,0,2837.8343285815645,2837.8343285815645
20110316,274.6353300153453,0,2821.740698242665,2821.740698242665
20110318,274.6353300153453,0,2837.9167191805686,2837.9167191805686
20110321,274.6353300153453,0,2873.2073590875407,2873.2073590875407
20110322,274.6353300153453,0,2875.8438582556882,2875.8438582556882
20110323,274.6353300153453,0,2895.1232584227655,2895.1232584227655
20110324,274.6353300153453,0,2906.987504679428,2906.987504679428
20110325,274.6353300153453,0,2922.641718490303,2922.641718490303
20110328,274.6353300153453,0,2921.0213700432123,2921.0213700432123
20110329,274.6353300153453,0,2936.7030473870886,2936.7030473870886
20110330,274.6353300153453,0,2958.2893843262946,2958.2893843262946
20110331,274.6353300153453,0,2935.9615319960476,2935.9615319960476
20110401,367.42036564479895,0,3959.909732773385,3959.909732773385
20110404,367.42036564479895,0,3948.1890231093157,3948.1890231093157
20110405,367.42036564479895,0,3950.2098351203626,3950.2098351203626
20110406,367.42036564479895,0,3927.1725781944333,3927.1725781944333
20110407,367.42036564479895,0,3932.2797212768965,3932.2797212768965
20110408,367.42036564479895,0,3910.932598032933,3910.932598032933
