date,parts,savings,total_value,invested_value
20110104,0.0,1000,1000.0,0.0
20110105,0.0,1000,1000.0,0.0
20110106,0.0,1000,1000.0,0.0
20110107,0.0,1000,1000.0,0.0
20110110,0.0,1000,1000.0,0.0
20110111,0.0,1000,1000.0,0.0
20110112,0.0,1000,1000.0,0.0
20110113,0.0,1000,1000.0,0.0
20110114,0.0,1000,1000.0,0.0
20110118,0.0,1000,1000.0,0.0
20110119,0.0,1000,1000.0,0.0
20110120,0.0,1000,1000.0,0.0
20110121,0.0,1000,1000.0,0.0
20110124,0.0,1000,1000.0,0.0
20110125,0.0,1000,1000.0,0.0
20110126,0.0,1000,1000.0,0.0
20110127,0.0,1000,1000.0,0.0
20110128,0.0,1000,1000.0,0.0
20110131,0.0,1000,1000.0,0.0
20110201,0.0,2000,2000.0,0.0
20110202,0.0,2000,2000.0,0.0
20110203,0.0,2000,2000.0,0.0
20110204,0.0,2000,2000.0,0.0
20110207,0.0,2000,2000.0,0.0
20110208,0.0,2000,2000.0,0.0
20110209,0.0,2000,2000.0,0.0
20110210,0.0,2000,2000.0,0.0
20110211,0.0,2000,2000.0,0.0
20110214,0.0,2000,2000.0,0.0
20110215,0.0,2000,2000.0,0.0
20110216,0.0,2000,2000.0,0.0
20110217,0.0,2000,2000.0,0.0
20110218,0.0,2000,2000.0,0.0
20110222,0.0,2000,2000.0,0.0
20110223,0.0,2000,2000.0,0.0
20110224,0.0,2000,2000.0,0.0
20110225,0.0,2000,2000.0,0.0
20110228,0.0,2000,2000.0,0.0
20110301,0.0,3000,3000.0,0.0
20110302,0.0,3000,3000.0,0.0
20110303,0.0,3000,3000.0,0.0
20110304,0.0,3000,3000.0,0.0
20110307,0.0,3000,3000.0,0.0
20110308,0.0,3000,3000.0,0.0
20110309,0.0,3000,3000.0,0.0
20110310,0.0,3000,3000.0,0.0
20110311,0.0,3000,3000.0,0.0
20110314,0.0,3000,3000.0,0.0
20110315,0.0,3000,3000.0,0.0
20110316,0.0,3000,3000.0,0.0
20110318,0.0,3000,3000.0,0.0
20110321,0.0,3000,3000.0,0.0
20110322,0.0,3000,3000.0,0.0
20110323,0.0,3000,3000.0,0.0
20110324,0.0,3000,3000.0,0.0
20110325,0.0,3000,3000.0,0.0
20110328,0.0,3000,3000.0,0.0
20110329,0.0,3000,3000.0,0.0
20110330,0.0,3000,3000.0,0.0
20110331,0.0,3000,3000.0,0.0
20110401,0.0,4000,4000.0,0.0
20110404,0.0,4000,4000.0,0.0
20110405,0.0,4000,4000.0,0.0
20110406,0.0,4000,4000.0,0.0
20110407,0.0,4000,4000.0,0.0
20110408,0.0,4000,4000.0,0.0
20110411,0.0,4000,4000.0,0.0
20110412,0.0,4000,4000.0,0.0
20110413,0.0,4000,4000.0,0.0
20110414,0.0,4000,4000.0,0.0
20110415,0.0,4000,4000.0,0.0
20110418,0.0,4000,4000.0,0.0
20110419,0.0,4000,4000.0,0.0
20110420,0.0,4000,4000.0,0.0
20110421,0.0,4000,4000.0,0.0
20110426,0.0,4000,4000.0,0.0
20110427,0.0,4000,4000.0,0.0
20110428,0.0,4000,4000.0,0.0
20110429,0.0,4000,4000.0,0.0
20110503,0.0,5000,5000.0,0.0
20110504,0.0,5000,5000.0,0.0
20110505,0.0,5000,5000.0,0.0
20110506,0.0,5000,5000.0,0.0
20110509,0.0,5000,5000.0,0.0
20110510,0.0,5000,5000.0,0.0
20110511,0.0,5000,5000.0,0.0
20110512,0.0,5000,5000.0,0.0
20110513,0.0,5000,5000.0,0.0
20110516,0.0,5000,5000.0,0.0
20110517,0.0,5000,5000.0,0.0
20110518,0.0,5000,5000.0,0.0
20110519,0.0,5000,5000.0,0.0
20110520,0.0,5000,5000.0,0.0
20110523,0.0,5000,5000.0,0.0
20110524,0.0,5000,5000.0,0.0
