date,value
20110101,67
20110103,68
20110104,68
20110105,67
20110106,64
20110107,63
20110108,61
20110110,58
20110111,58
20110112,58
20110113,58
20110114,60
20110115,60
20110118,56
20110119,55
20110120,54
20110121,47
20110122,47
20110124,45
20110125,43
20110126,43
20110127,43
20110128,43
20110129,40
20110131,41
20110201,41
20110202,46
20110203,47
20110204,49
20110205,52
20110207,56
20110208,56
20110209,56
20110210,56
20110211,56
20110212,56
20110214,61
20110215,61
20110216,61
20110217,61
20110218,56
20110219,55
20110222,42
20110223,42
20110224,42
20110225,42
20110226,43
20110228,43
20110301,43
20110302,42
20110303,41
20110304,39
20110305,35
20110307,35
20110308,27
20110309,26
20110310,26
20110311,26
20110312,19
20110314,13
20110315,13
20110316,11
20110317,9
20110318,9
20110319,10
20110321,14
20110322,15
20110323,16
20110324,16
20110325,19
20110326,21
20110328,23
20110329,23
20110330,24
20110331,24
20110401,27
20110402,31
20110404,31
20110405,35
20110406,37
20110407,37
20110408,37
20110409,37
20110411,34
20110412,33
20110413,33
20110414,30
20110415,28
20110416,24
20110418,24
20110419,24
20110420,25
20110421,30
20110423,30
20110425,35
20110426,36
20110427,37
20110428,37
20110429,41
20110430,38
20110502,36
20110503,31
20110504,30
20110505,29
20110506,27
20110507,27
20110509,28
20110510,31
20110511,31
20110512,32
20110513,32
20110514,28
20110516,27
20110517,27
20110518,25
20110519,23
20110520,22
20110521,22
20110523,16
20110524,13
20110525,13
20110526,15
20110527,16
20110528,16
20110531,16
20110601,15
20110602,12
20110603,9
20110604,9
20110606,6
20110607,6
20110608,6
20110609,6
20110610,5
20110611,5
20110613,6
20110614,5
20110615,5
20110616,6
20110617,7
20110618,7
20110620,9
20110621,9
20110622,10
20110623,10
20110624,11
20110625,11
20110627,25
20110628,29
20110629,30
20110630,32
20110701,34
20110702,40
20110705,51
20110706,52
20110707,48
20110708,43
20110709,40
20110711,35
20110712,31
20110713,31
20110714,31
20110715,32
20110716,35
20110718,44
20110719,44
20110720,47
20110721,48
20110722,51
20110723,51
20110725,38
20110726,35
20110727,27
20110728,27
20110729,16
20110730,15
20110801,10
20110802,8
20110803,2
20110804,5
20110805,5
20110806,5
20110808,1
20110809,2
20110810,2
20110811,3
20110812,6
20110813,6
20110815,7
20110816,11
20110817,7
20110818,7
20110819,6
20110820,6
20110822,7
20110823,9
20110824,8
20110825,11
20110826,12
20110827,17
20110829,22
20110830,22
20110831,28
20110901,26
20110902,26
20110903,26
20110906,27
20110907,28
20110908,25
20110909,25
20110910,25
20110912,31
20110913,31
20110914,31
20110915,33
20110916,38
20110917,35
20110919,39
20110920,32
