date,parts,savings,total_value,invested_value
20110104,0.0,1000,1000.0,0.0
20110105,0.0,1000,1000.0,0.0
20110106,0.0,1000,1000.0,0.0
20110107,0.0,1000,1000.0,0.0
20110110,0.0,1000,1000.0,0.0
20110111,0.0,1000,1000.0,0.0
20110112,0.0,1000,1000.0,0.0
20110113,0.0,1000,1000.0,0.0
20110114,0.0,1000,1000.0,0.0
20110118,0.0,1000,1000.0,0.0
20110119,91.04814625974215,0,1000.0,1000.0
20110120,91.04814625974215,0,995.5022215747688,995.5022215747688
20110121,91.04814625974215,0,988.5006191273945,988.5006191273945
20110124,91.04814625974215,0,989.2290042974726,989.2290042974726
20110125,91.04814625974215,0,988.4277806103868,988.4277806103868
20110126,91.04814625974215,0,992.7343579284726,992.7343579284726
20110127,91.04814625974215,0,992.0059727583947,992.0059727583947
20110128,91.04814625974215,0,985.3776677106854,985.3776677106854
20110131,91.04814625974215,0,983.7296962633842,983.7296962633842
20110201,91.04814625974215,1000,1994.382329375774,994.3823293757739
20110202,182.53610644418188,0,1995.1926578774858,1995.1926578774858
20110203,182.53610644418188,0,2017.0422298188544,2017.0422298188544
20110204,182.53610644418188,0,2031.0975100150563,2031.0975100150563
20110207,182.53610644418188,0,2044.5869282812814,2044.5869282812814
20110208,182.53610644418188,0,2037.5227809618914,2037.5227809618914
20110209,182.53610644418188,0,2025.3111154407757,2025.3111154407757
20110210,182.53610644418188,0,2034.3283990991183,2034.3283990991183
20110211,182.53610644418188,0,2046.7226007266781,2046.7226007266781
20110214,182.53610644418188,0,2066.5095146652275,2066.5095146652275
20110215,182.53610644418188,0,2057.8207959984843,2057.8207959984843
20110216,182.53610644418188,0,2069.1745418193123,2069.1745418193123
20110217,182.53610644418188,0,2071.5110039817982,2071.5110039817982
20110218,182.53610644418188,0,2067.184898259071,2067.184898259071
20110222,182.53610644418188,0,2021.4596035948032,2021.4596035948032
20110223,182.53610644418188,0,1999.2997202724796,1999.2997202724796
20110224,182.53610644418188,0,1991.3776532528022,1991.3776532528022
20110225,182.53610644418188,0,2019.2326630961843,2019.2326630961843
20110228,182.53610644418188,0,2025.3841298833534,2025.3841298833534
20110301,182.53610644418188,1000,3006.8019542473357,2006.8019542473355
20110302,182.53610644418188,1000,2995.37519398393,1995.3751939839299
20110303,182.53610644418188,1000,3008.097960603089,2008.0979606030892
20110304,182.53610644418188,1000,2995.5394764797293,1995.5394764797295
20110307,182.53610644418188,1000,2978.089024703666,1978.089024703666
20110308,182.53610644418188,1000,2997.8211778102823,1997.821177810282
20110309,182.53610644418188,1000,2992.9839709895114,1992.9839709895111
20110310,182.53610644418188,1000,2971.5177248716755,1971.5177248716755
20110311,182.53610644418188,1000,2968.3415966195466,1968.3415966195466
20110314,182.53610644418188,1000,2928.7860223530924,1928.7860223530922
20110315,182.53610644418188,1000,2886.163841498376,1886.1638414983759
20110316,182.53610644418188,1000,2875.4672256607464,1875.4672256607466
20110318,182.53610644418188,1000,2886.218602330309,1886.2186023303088
20110321,182.53610644418188,1000,2909.6744920083866,1909.6744920083863
20110322,182.53610644418188,1000,2911.426838630251,1911.4268386302508
20110323,182.53610644418188,1000,2924.2408733026323,1924.2408733026323
20110324,182.53610644418188,1000,2932.1264331010207,1932.1264331010207
20110325,182.53610644418188,1000,2942.530991168339,1942.5309911683391
20110328,182.53610644418188,1000,2941.4540281403183,1941.4540281403183
20110329,182.53610644418188,1000,2951.876839818281,1951.8768398182813
20110330,182.53610644418188,1000,2966.224177784794,1966.224177784794
20110331,182.53610644418188,1000,2951.3839923308824,1951.3839923308822
20110401,182.53610644418188,2000,3967.3011408128145,1967.3011408128145
20110404,182.53610644418188,2000,3961.478239017245,1961.4782390172452
20110405,182.53610644418188,2000,3962.482187602688,1962.4821876026883
